"COUNTRY","ISO COUNTRY CODE (ISO 3166)","MIC","OPERATING MIC","O/S","NAME-INSTITUTION DESCRIPTION","ACRONYM","CITY","WEBSITE","STATUS DATE","STATUS","CREATION DATE","COMMENTS"
"FRANCE","FR","BRED","BRED","O","BRED BANQUE POPULAIRE - SYSTEMATIC INTERNALISER","","PARIS","WWW.BRED.FR","APRIL 2021","ACTIVE","APRIL 2021","SYSTEMATIC INTERNALISER."
"GERMANY","DE","DBMO","DBAG","S","DEUTSCHE BANK - MANUAL OTC","MANUAL OTC","FRANKFURT","HTTPS://AUTOBAHN.DB.COM/MICROSITE/HTML/EQUITY.HTML","APRIL 2021","ACTIVE","OCTOBER 2014","DEUTSCHE BANK AG MARKET SEGMENT MARKET CODE FOR MANUAL OTC FILLS AS PER MMT2 STANDARD DEFINITION PROPOSED BY FIXPROTOCOL.ORG AND SUPPORTED BY EUROPEAN TDM'S(HTTP://WWW.BATSTRADING.CO.UK/BXTR/)"
"GERMANY","DE","DBLN","DBAG","S","DEUTSCHE BANK AG - LONDON - SYSTEMATIC INTERNALISER","","FRANKFURT","WWW.DB.COM","APRIL 2021","ACTIVE","DECEMBER 2018","SYSTEMATIC INTERNALISER."
"RUSSIA","RU","RUSX","RUSX","O","NON-PROFIT PARTNERSHIP FOR THE DEVELOPMENT OF FINANCIAL MARKET RTS","NP RTS","MOSCOW","WWW.NPRTS.RU","APRIL 2021","ACTIVE","DECEMBER 2014",""
"UNITED KINGDOM","GB","UNGB","UNGB","O","UNICREDIT BANK AG - LONDON BRANCH - UK SYSTEMATIC INTERNALISER","","LONDON","WWW.HYPOVEREINSBANK.DE","APRIL 2021","ACTIVE","APRIL 2021","SYSTEMATIC INTERNALISER. MIC CODE FOR UNICREDIT ACTING AS AN SYSTEMATIC INTERNALISER UNDER UK MIFIR/MIFID."
"AUSTRALIA","AU","XLQC","XLQC","O","LIQUIDITY CUBE PTY LTD","","SYDNEY","WWW.LIQUIDITYCUBE.COM","APRIL 2021","ACTIVE","APRIL 2021",""
"RUSSIA","RU","XMOS","XMOS","O","CENTRAL COUNTERPARTY CLEARING CENTER MFB - JOINT-STOCK COMPANY","MFB","MOSCOW","HTTPS://MSE.RU","APRIL 2021","ACTIVE","NOVEMBER 2007","CENTRAL COUNTERPARTY OF PUBLIC JOINT-STOCK COMPANY SAINT PETERSBURG EXCHANGE COVERING A WIDE RANGE OF ASSETS CLASSES."
"UNITED ARAB EMIRATES","AE","ABXX","ABXX","O","YOSHI MARKETS LIMITED","YOSHI","ABU DHABI","WWW.YOSHIMARKETS.IO","APRIL 2022","ACTIVE","MARCH 2021",""
"UNITED KINGDOM","GB","CFIC","CFIC","O","CHINAFICC","","LONDON","HTTPS://CHINAFICC.GLOBAL","MARCH 2021","ACTIVE","MARCH 2021",""
"FRANCE","FR","HBFR","HBFR","O","HSBC CONTINENTAL EUROPE - SYSTEMATIC INTERNALISER","","PARIS","WWW.HSBC.FR","MARCH 2021","ACTIVE","OCTOBER 2017","SYSTEMATIC INTERNALISER."
"UNITED STATES OF AMERICA","US","KLSH","KLSH","O","KALSHIEX LLC","KEX","NEW YORK","WWW.KALSHI.COM","MARCH 2021","ACTIVE","MARCH 2021","DESIGNATED CONTRACT MARKET."
"JAPAN","JP","MUDX","MUDX","O","MITSUBISHI DIAMOND CROSSING","MDX","TOKYO","WWW.MUMSS.COM","MARCH 2021","ACTIVE","MARCH 2021","MITSUBISHI DARK."
"UNITED KINGDOM","GB","TRAX","TRAX","O","MARKETAXESS POST-TRADE LIMITED - APA","","LONDON","WWW.MARKETAXESS.COM","MARCH 2021","ACTIVE","MAY 2017","APPROVED PUBLICATION ARRANGEMENT."
"THE NETHERLANDS","NL","TRNL","TRNL","O","MARKETAXESS POST-TRADE B.V. - APA","","AMSTERDAM","WWW.MARKETAXESS.COM","MARCH 2021","ACTIVE","APRIL 2018","APPROVED PUBLICATION ARRANGEMENT."
"RUSSIA","RU","XPET","XPET","O","STOCK EXCHANGE SAINT PETERSBURG","SPBEX","SAINT-PETERSBURG","WWW.SPBEX.RU","MARCH 2021","ACTIVE","MAY 2010",""
"UNITED STATES OF AMERICA","US","LEVL","LEVL","O","LEVEL ATS","LEVEL","BOSTON","WWW.LEVELATS.COM","FEBRUARY 2007","ACTIVE","FEBRUARY 2007",""
"UNITED STATES OF AMERICA","US","EBXV","LEVL","S","LEVEL ATS - VWAP CROSS","LEVEL","BOSTON","WWW.LEVELATS.COM","MARCH 2021","ACTIVE","MARCH 2021",""
